productCode,productNAme,productLine,quantityInStock,warehousecode
S10_1678,"1969 Harley Davidson Ultimate Chopper",Motorcycles,7933,a
S10_1949,"1952 Alpine Renault 1300","Classic Cars",7305,b
S10_2016,"1996 Moto Guzzi 1100i",Motorcycles,6625,a
S10_4698,"2003 Harley-Davidson Eagle Drag Bike",Motorcycles,5582,a
S10_4757,"1972 Alfa Romeo GTA","Classic Cars",3252,b
S10_4962,"1962 LanciaA Delta 16V","Classic Cars",6791,b
S12_1099,"1968 Ford Mustang","Classic Cars",68,b
S12_1108,"2001 Ferrari Enzo","Classic Cars",3619,b
S12_1666,"1958 Setra Bus","Trucks and Buses",1579,d
S12_2823,"2002 Suzuki XREO",Motorcycles,9997,a
S12_3148,"1969 Corvair Monza","Classic Cars",6906,b
S12_3380,"1968 Dodge Charger","Classic Cars",9123,b
S12_3891,"1969 Ford Falcon","Classic Cars",1049,b
S12_3990,"1970 Plymouth Hemi Cuda","Classic Cars",5663,b
S12_4473,"1957 Chevy Pickup","Trucks and Buses",6125,d
S12_4675,"1969 Dodge Charger","Classic Cars",7323,b
S18_1097,"1940 Ford Pickup Truck","Trucks and Buses",2613,d
S18_1129,"1993 Mazda RX-7","Classic Cars",3975,b
S18_1342,"1937 Lincoln Berline","Vintage Cars",8693,c
S18_1367,"1936 Mercedes-Benz 500K Special Roadster","Vintage Cars",8635,c
S18_1589,"1965 Aston Martin DB5","Classic Cars",9042,b
S18_1662,"1980s Black Hawk Helicopter",Planes,5330,a
S18_1749,"1917 Grand Touring Sedan","Vintage Cars",2724,c
S18_1889,"1948 Porsche 356-A Roadster","Classic Cars",8826,b
S18_1984,"1995 Honda Civic","Classic Cars",9772,b
S18_2238,"1998 Chrysler Plymouth Prowler","Classic Cars",4724,b
S18_2248,"1911 Ford Town Car","Vintage Cars",540,c
S18_2319,"1964 Mercedes Tour Bus","Trucks and Buses",8258,d
S18_2325,"1932 Model A Ford J-Coupe","Vintage Cars",9354,c
S18_2432,"1926 Ford Fire Engine","Trucks and Buses",2018,d
S18_2581,"P-51-D Mustang",Planes,992,a
S18_2625,"1936 Harley Davidson El Knucklehead",Motorcycles,4357,a
S18_2795,"1928 Mercedes-Benz SSK","Vintage Cars",548,c
S18_2870,"1999 Indy 500 Monte Carlo SS","Classic Cars",8164,b
S18_2949,"1913 Ford Model T Speedster","Vintage Cars",4189,c
S18_2957,"1934 Ford V8 Coupe","Vintage Cars",5649,c
S18_3029,"1999 Yamaha Speed Boat",Ships,4259,d
S18_3136,"18th Century Vintage Horse Carriage","Vintage Cars",5992,c
